nta,boro_name,name,shape_area,population,population_density,engine_needed_first_shift,engine_needed_second_shift,ladder_needed_first_shift,ladder_needed_second_shift,rescue_needed_first_shift,rescue_needed_second_shift,squad_needed_first_shift,squad_needed_second_shift,hazardous_needed_first_shift,hazardous_needed_second_shift
QN08,Queens,St. Albans,0.22336119035706842,0.36707761108341264,0.10991775628302636,0.29265402843601895,0.3392342527789214,0.27863247863247864,0.3429266315362789,0.26023391812865493,0.3333333333333333,0.23668639053254437,0.52,0.2411764705882353,0.3464052287581699
BX28,Bronx,Van Cortlandt Village,0.062466976234585574,0.3784616779223134,0.34180944078719844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN55,Queens,South Ozone Park,0.2390587926694577,0.5731919201075707,0.16112830200480266,0.48755924170616116,0.4796212433100041,0.46495726495726497,0.4698013781921362,0.47953216374269003,0.9,0.5384615384615384,0.48,0.4823529411764706,0.3790849673202614
BK50,Brooklyn,Canarsie,0.2379030301327875,0.6322274093882669,0.1785283561613175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX41,Bronx,Mount Hope,0.028422294156459943,0.3913565698227802,0.6164307806564818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN26,Queens,North Corona,0.03864301623008317,0.39309401864358123,0.5061189129800453,0.3338270142180095,0.315356113627007,0.3052503052503053,0.32752330766112686,0.36549707602339176,0.23333333333333334,0.3136094674556213,0.4,0.2529411764705882,0.35947712418300654
BK68,Brooklyn,Fort Greene,0.03391360950840749,0.19700403390291438,0.27705500560758467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN38,Queens,Pomonok-Flushing Heights-Hillcrest,0.10341542426807707,0.25709710072670683,0.1534567586390306,0.19757109004739337,0.2219020172910663,0.19804639804639804,0.2124037292257803,0.195906432748538,0.2,0.2662721893491124,0.24,0.15294117647058825,0.30718954248366015
QN52,Queens,East Flushing,0.07424351975938126,0.20382540905588542,0.1604135847176053,0.16676540284360192,0.17743927542198434,0.1619047619047619,0.17430077016619375,0.15204678362573099,0.08333333333333333,0.16568047337278105,0.28,0.20588235294117646,0.14379084967320263
BK44,Brooklyn,Madison,0.06779327165974708,0.2939838946048437,0.2489005346245212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN01,Queens,South Jamaica,0.1069475812578235,0.2938101497227636,0.17038608800819274,0.26510663507109006,0.2597776862906546,0.2549450549450549,0.2683421159302797,0.2807017543859649,0.2833333333333333,0.21301775147928995,0.36,0.2823529411764706,0.24836601307189543
BX98,Bronx,Rikers Island,0.03914002217424769,0.08378280378914925,0.10692325667486403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
